sender,sentences
Gemma,الافضل ان يتم ذلك بمدة لا تقل عن 24 ساعة من موعد الرحلة الاساسية منعا لزيادة الرسوم
Gemma,و حاليا يمكنكم التواصل و التغيير حتى بعد اقلاع الرحلة لان الغرامة ستترتب بما ان التغيير بمدة اقل من 24 ساعة من موعد الرحلة
Gemma,لا يمكن التغيير هنا
Visitor,ممكن رقم هاتف للتواصل
Gemma,ما هو بلد التواجد
Visitor,الامارات بس مو مداومين هلا بدي رقم بسوريا يكونوا مداومين
Gemma,هل يوجد شخص في سوريا يمكنه مراجعة المكتب مع صورة عن التذكرة؟
Visitor,ما بينفع. عالتلفون
Gemma,الدفع نقدي و اذا كان الحجز و بلد الانطلاق للرحلة ليس سوريا لا يكون الدفع بالليرة
Gemma,للحجز و الاستفسار  يمكنكم التواصل مع مكتبنا الرئيسي في دمشق على رقم الهاتف / 9211 / او زيارتنا على العنوان :
Visitor,# دمشق - شارع الفردوس - بناء فيليبس - الطابق الارضي
Visitor,خلال اوقات الدوام من السبت الى الخميس من الساعة / 9 / حتى الساعة / 17 /
,_______________________________
Gemma,كيف يمكننا المساعدة؟
Visitor,بدي احجز تذكرة الي و لزوجتي و طفلين 
Visitor,من دمشق للشارقة
Visitor,ذهاب 24-4-2023
Visitor,إياب 29-4-2023
Visitor,السعر بدي أتأكد منو كيف ألية الدفع 
Visitor,ممكن عن طريق تحويل مصرفي ؟
Gemma,اذا تم الحجز عن طريق موقعنا يكون الدفع نقدي في بلد الانطلاق للرحلة اي في احد مكاتبنا الرئيسية في سوريا
Gemma,و يتم دفع المبلغ الذي يظهر عند انتهاء عملية الحجز بالليرة خلال مهلة الدفع
Gemma,فاذا انتهت دون الدفع يتم الغاء الحجز تلقائيا
Gemma,و الحجز الجديد يكون بسعر جديد
Visitor,هل يوجد خصومات ؟او عروض ؟
Gemma,او يمكن الدفع الكترونيا من سوريا ببطاقة بنكية بالe cash او fatora
Gemma,الاسعار تتفاوت حسب نوع التذكرة و تاريخ الرحلة
Visitor,Amer: طلع عندي 12.336.500 ل س
Visitor,Amer: حسب التواريخ اللي ذكرتلك ياها
Gemma,للاسف هنا لا تظهر لدينا تفاصيل عن الاسعار
Gemma,يمكنكم المتابعة مع المكتب اذا اردتم
Visitor,Amer: شكراً
Gemma,اهلا و سهلا
,_______________________________
Visitor,مسا الخير
Gemma,مساء النور
Visitor,سؤال بعد اذنك عن طريق موقع عم جرب احجز تذكرة ذهاب اياب من الشارقه ل دمشق والعوده ب عكس المهم وقت وصلنا لسعر تكت عم يعطيني من شارقه ل دمشق 1424 وفي تحت من دمشق ل شارقه 1208 السؤال الذهاب والاياب 2632 هيك ولا بس الرقم الاول ولا كيف؟
Gemma,السعر هو المجموع
Gemma,و عند ادخال بيانات المسافرين و الوصول الى المرحلة ما قبل الاخيرة
Gemma,يظهر السعر النهائي
Gemma,فان ناسبكم تكملون عنلية الحجز
Visitor,المجموع يعني تكت طيران لسوريا ذهاب وعوده 2600
Visitor,برايك هاد سعر تكت حقيقي
Visitor,ادفع 2600 تكت طيران عاديه
Visitor,مع العلم توقيت الرحله مش موعد اعياد ولاشي
Gemma,هنا لا تظهر عندنا الاسعار و لكن المجموع للذهاب و الاياب حسب ما يظهر عندكم
Gemma,يمكنكم ايضا الاستفسار من المكتب
Visitor,في رقم وتساب؟
Gemma,للحجز و الاستفسار يمكنكم التواصل مع مكتب فلاي اند مور ( الوكيل العام لأجنحة الشام في الامارات ) على الرقم / 0097142222777 / أو على رقم الموبايل ( واتس اب ) / 00971562744250 / أو / 00971565630434 / أو / 00971545611480 / او زيارته على العنوان :
Visitor,# دبي - ديرة - ميناءسعيد - بناء زينة - مكتب / 110 /
Visitor,خلال أوقات الدوام من السبت الى الخميس من الساعة / 10 / حتى الساعة / 18 /
Visitor,طيب شكرا
Gemma,اهلا و سهلا
Gemma,اهلا بكم
Visitor,طلبت رقم تواصل وتساب مع اجنحة الشام
Visitor,بس ولا رقم عليه وتساب
Gemma,للحجز و الاستفسار يمكنكم التواصل مع مكتب فلاي اند مور ( الوكيل العام لأجنحة الشام في الامارات ) على الرقم / 0097142222777 / أو على رقم الموبايل ( واتس اب ) / 00971562744250 / أو / 00971565630434 / أو / 00971545611480 / او زيارته على العنوان :
Visitor,# دبي - ديرة - ميناءسعيد - بناء زينة - مكتب / 110 /
Visitor,خلال أوقات الدوام من السبت الى الخميس من الساعة / 10 / حتى الساعة / 18 /
Gemma,تم تزويدكم بارقام الواتس اب لوكيلنا العام في دبي
Visitor,ولا رقم شغال الوتس عليه من هل ارقاك
Gemma,للحجز تواصل مع الوكيل العام لطيران أجنحة الشام في الإمارات 
Visitor,فلاي آند مور 
Visitor,من خلال الاتصال أو إرسال واتساب على الأرقام التالية: 
Gemma,هذه الارقام كلها عليها واتس اب
Visitor,طبيب حرجع جرب شكرا
,_______________________________
Visitor,السَلآْم عَلْيُكّمٌ وٍرٍحَمُةّ الله وٍبُرٍكآتُهْ
Gemma,و عليكم السلام
Visitor,كم الكيلو الزائد دمشق مسقط
Gemma,يتم حاليا دفع مبلغ 26000 ليرة عن كل كيلو زيادة في مطار دمشق
Visitor,شكرا حبيب
Gemma,اهلا و سهلا
,_______________________________
Gemma,يرجى توضيح طلبكم
Visitor,اريد اعرف رقم الحجز
Visitor,هل تم التاكيد عليها
Gemma,اسم المسافر
Gemma,الحجز صحيح و مؤكد 
Visitor,من أربيل الى دمشق يوم الاحد 2 نيسان و الاياب الاحد 30 نيسان
Gemma,هل من مساعدة ثانية ؟
Visitor,شكرا كثير
Gemma,اهلا و سهلا
,_______________________________
Visitor,صباح الخير
Gemma,صباح النور
Visitor,اذا ممكن اتأكد من رحلة اليوم من القامشلي لدمشق
Visitor,هل يوجد تغيير في موعد رحلة
Gemma,ما هو رقم الحجز
Gemma,يرجى الانتظار
Gemma,اسم المسافر
Gemma,موعد رحلتكم من القامشلي الى دمشق يوم الاثنين 20 الشهر الحالي 
Visitor,الاقلاع من مطار القامشلي الساعة 5:35 صباحا و الوصول الى مطار دمشق الساعة 6:50
Visitor,التواجد في المطار قبل السفر ب 3 ساعات
Visitor,شكرااا جزيلا
Gemma,اهلا و سهلا
,_______________________________
Visitor,السلام عليكم
Gemma,و عليكم السلام
Visitor,ما اسعار التذاكر من ابو ظبي لدمشق
Gemma,تتفاوت الأسعار حسب نوع التذكرة و تاريخ الرحلة
Visitor,و للحجز و الاطلاع على المواعيد و الاسعار يمكنكم زيارة موقع شركتنا الالكتروني على الرابط :
Visitor,أو للحجز و الاستفسار يمكنكم التواصل مع مكتب فلاي اند مور ( الوكيل العام لأجنحة الشام في الامارات ) على الرقم / 0097142222777 / أو على رقم الموبايل ( واتس اب ) / 00971562744250 / أو / 00971565630434 / أو / 00971545611480 / او زيارته على العنوان :
Visitor,# دبي - ديرة - بورسعيد - بناء زينة - مكتب / 110 /
Visitor,خلال أوقات الدوام من السبت الى الخميس من الساعة / 10 / حتى الساعة / 18 /
Visitor,حاولت استخدم الموقع بس في غلط لما اعبي البيانات ما بيعطيني معلومات عن المواعيد المتاحة والاسعار
Visitor,بيطلعي خطأ
Gemma,يمكنكم المتابعة مع المكتب
Gemma,أو المحاولة عن طريق الموقع لاحقا مع تغيير المتصفح
,_______________________________
Visitor,ما هي اسعار التذاكر ابو ظبي دمشق ذهاب اياب
Gemma,تتفاوت الأسعار حسب نوع التذكرة و تاريخ الرحلة 
Visitor,و للحجز و الاطلاع على المواعيد و  الاسعار يمكنكم زيارة موقع شركتنا الالكتروني على الرابط :
Gemma,أو  للحجز و الاستفسار يمكنكم التواصل مع مكتب فلاي اند مور ( الوكيل العام لأجنحة الشام في الامارات ) على الرقم / 0097142222777 / أو على رقم الموبايل ( واتس اب ) / 00971562744250 / أو / 00971565630434 / أو / 00971545611480 / او زيارته على العنوان :
Visitor,# دبي - ديرة - بورسعيد - بناء زينة - مكتب / 110 /
Visitor,خلال أوقات الدوام من السبت الى الخميس من الساعة / 10 / حتى الساعة / 18 /
,_______________________________
,_______________________________
Visitor,صباح الخير ايمت في رحلات ع دمشق من مطار البصرة الاسبوع القادم
Gemma,صباح النور
,_______________________________
,_______________________________
Visitor,Visitor Name: صافي
Visitor,صافي: صباح الخير
Gemma,صباح النور
Visitor,صافي: لو سمحتي انا مقيم بالرياض وبدي ساوي حجز 
Visitor,فيني احجز على موقعكن واحجز على طيران ناس
Visitor,صافي: وتسوولي ربط بعدها
Gemma,الحجز معنا عن الرحلة كاملة من الرياض الى دمشق ترانزيت عن طريق الكويت
Gemma,و الشركة المكنمة هي ناس
Visitor,صافي: صحيح
Gemma,الحجز يتم عن طريق وكلائنا في المملكة
Visitor,صافي: مابيصير احجز على الموقع
Gemma,في الرياض او جدة او الدمام او القصيم
Visitor,صافي: بصراحه في كتير فرق بالاسعار
Visitor,صافي: بموقعكن وموقع طيران ناس ارخص شي 300 دولار
Gemma,لا يمكن الحجز لرحلات السعودية من الموقع
Visitor,صافي: على الشخص
Visitor,صافي: رحلات حلب من الكويت متى بتفتح
Visitor,صافي: ؟
Gemma,لم يحدد الموعد بعد و سنعلن عنها عندما تصبح جاهزة
Visitor,صافي: طيب تمام
Visitor,صافي: شكرا
Gemma,اهلا و سهلا
Visitor,صافي: العفو
,_______________________________
Visitor,عم حاول احجز ماعم يبين شي
Visitor,وقديش سعر التذكره ذهاب اياب من مطار حلب لمطار الشارقه
Gemma,الرحلات كل سبت و اربعاء للذهاب و الاياب
Gemma,تتفاوت الاسعار حسب نوع التذكرة و تاريخ الرحلة
Visitor,انا بدي الفرق بين الذهاب والاياب 15يوم
Visitor,من 2/4ل 17
Gemma,للحجز و الاستفسار يمكنكم التواصل مع مكتبنا في حلب - فندق الشيراتون  على الرقم / 00963212116855 / أو / 00963219211 / 
Visitor,خلال اوقات الدوام من السبت الى الخميس من الساعة / 9  / حتى الساعة / 17 /
Gemma,للحجز و الاطلاع على المواعيد و  الاسعار يمكنكم زيارة موقع شركتنا الالكتروني على الرابط :
Gemma,اهلا و سهلا
,_______________________________
Visitor,يعطيك العافية، بدي أعرف كيف الواحد بيقدم عمهنة مضيف طيران و شو رواتب المضيفين عندكن؟
,_______________________________
