sender,sentences
Visitor,خلال أوقات الدوام من السبت الى الخميس من الساعة / 10 / حتى الساعة / 18 /
Visitor,مافينا نحجز من التطبيق فورا
Gemma,يمكن الحجز عن طريق الموقع الالكنروني و اتمام عملية الدفع عن طريق الاتصال هاتفيا بمكتب سنتريون في دبي
Gemma,لتزويدهم برقم الحجز خلال مهلة الدفع
,_______________________________
Visitor,صباح الخير
Gemma,صباح النور
Visitor,كنت حابب اسال حضرتك عن امكانية تاجيل رحلتي
Visitor,لاني ما بعرف اذا مطار حلب متوقف او لا
Visitor,دة رقم الحجز الخاص بي
Gemma,الرحلات من و الى مطار حلب تم استئنافها
Visitor,طيب حضرتك ممكن تساعديني
Gemma,تريدون معرفة موعد رحلتكم؟
Visitor,لا اريد ان اعرف امكانية تاجيل التذكرة ليوم ٢٢ مارس
Visitor,هل هناك غرامة؟
Gemma,عليكم مراحعة مكتب الحجز للتأكد من توفر اماكن بالتاريخ المطلوب او الاقرب له و دفع رسوم التغيير
Gemma,و الافضل ان يتم ذلك بمدة لا تقل عن 24 ساعة من موعد الرحلة الاساسية منعا لزيادة الرسوم
Gemma,و لا يتم ذلك اون لاين
Gemma,و انما من المكتب
Visitor,قالولي في الشركة
Visitor,انة التاجيل يتم من خلالكم
Gemma,اي شركة اخبرتكم؟
Visitor,الشركة التي قمنا بالحجز من خلالها
Gemma,الحجز تم اون لاين؟
Gemma,ما هو بلد الانطلاق و الوصول للرحلة؟
Visitor,بيروت الانطلاق
Visitor,الوصول حلب
Visitor,وانا بالقاهرة
Gemma,لديكم من يقوم بالتغيير من مكتب وكيلنا في بيروت او في مكتبنا الرئيسي في حلب؟
Visitor,الحجز تم اونلاين
Visitor,وانا بالقاهرة
Visitor,قامت الشركة بابلاغي
Visitor,انة لا يمكن القيام بالتعديل اونلاين
Visitor,يجب التواصل معكم
Gemma,هل لديكم شخص من طرفكم في حلب او بيروت؟
Gemma,لا يمكن التغيير هنا
Gemma,هل تفضلون معرفة موعد  رحلتكم و استخدامها
Gemma,لان رحلات حلب عادت مرة ثانية
Visitor,اريد ان اعرف الموعد
Gemma,دقيقة من فضلك
Gemma,اسم المسافر؟
Visitor,هبة ابودان
Gemma,رحلتكم من بيروت الى حلب الاربعاء 15 الشهر الحالي
Gemma,الاقلاع من بيروت الساعة 00:50 و الوصول الى حلب الساعة 2:50
Gemma,في حال حدث اي تغيير فانه يتم ابلاغ المسافرين به على ارقام الموبايل المعطاة للمكتب عند الحجز
Visitor,ماشي...هل يمكن تعديل التذكرة اذا كلمت المكتب تليفونيا؟
Visitor,مكتب اجنحة الشام بحلب
Gemma,يجب ان يكون هناك شخص من طرفكم معه صورة عن التذكرة و يدفع الرسوم
Visitor,هل ممكن اختي او والدي
Gemma,هل عندكم شخص في دمشق؟
Visitor,عندي اختي بحلب ووالدي
Visitor,ابعتلة صورة من التذكرة
Gemma,يمكن مراجعة المكتب اليوم مع صورة التذكرة و التغيير
Visitor,هل يعملون اليوم
Gemma,يمكنكم التواصل مع مكتبنا في حلب - فندق الشيراتون  على الرقم / 00963212116855 / أو / 00963219211 / 
Visitor,خلال اوقات الدوام من السبت الى الخميس من الساعة / 9  / حتى الساعة / 17 /
Visitor,تمام شكرا
Gemma,اهلا و سهلا
Visitor,هل يمكن ارسال المواقع
Gemma,اي مواقع؟
Visitor,التي يمكنني الحجز من خلالها اونلاين
Gemma,دقيقة من فضلك
Gemma,يمكنكم اذا أردتم الحجز لرحلاتنا المباشرة و الدفع بالبطاقة الائتمانية عن طريق أحد المواقع التالية :
Visitor,شكرا الك
Gemma,اهلا و سهلا
,_______________________________
Visitor,صباح النور
Visitor,اخي لوسمحت عندي استفسار بسيط
Gemma,صباح النور
Visitor,انا حاجز تذكرة بقيمة 1650 درهم بتاريخ 3/12
Visitor,وبدي اجل التذكرة لتاريخ 4/16
Visitor,وقيمة التذكرة بتاريخ 4/16 1431درهم
Gemma,عليكم مراجعة المكتب للتأكد من توفر اماكن بالتاريخ المطلوب او الاقرب له و دفع رسوم التغيير
Gemma,و الرسوم تقدر في المكتب
Gemma,و الافضل ان يتم التغيير بمدة لا تقل عن 24 ساعة من موعد الرحلة منعا لزيادة الرسوم
Visitor,يعني ن بقدر اخد فرق التذكرة
Gemma,ما المقصود فرق التذكرة
,_______________________________
,_______________________________
