sender,sentences
Gemma,الحجز من مكاتب وكلائنا في جدة
,_______________________________
Visitor,لو سمحت عندي سؤال
Visitor,مطار حلب يعمل حاليا؟
Gemma,منذ يوم الجمعة
Visitor,ممتاز شكرا
Gemma,اهلا و سهلا
Visitor,الرحلة من بيروت لحلب في 29 اذار هلق هي في موعدها المحدد؟
Gemma,في حال حدث اي تغيير فانه يتم ابلاغ المسافرين به على ارقام الموبايل المعطاة للمكتب عند الحجز
Gemma,ممكن رقم الحجزPNR
Gemma,يرجى الانتظار
Gemma,الرحلة ملغاة
Visitor,كيف ملغاة وما حدا بلغني بهالشي؟
Gemma,و عليكم التواصل مع المكتب للاطلاع على البدائل المتاحة
Gemma,عليكم الاستفسار من المكتب الذي تم منه الحجز
Gemma,لانه عادة يتم ابلاغ المسافرين من المكتب على ارقام الموبايل المعطاة عند الحجز
Visitor,للاسف ما حدا بلغني ولو ما سألت حضرتك ما كنت بعرف
Gemma,عليكم المتابعة حاليا بالطريقة التي ابلغناكم بها
,_______________________________
Visitor,مساء الخير
Visitor,ممكن استفسر عن حجز ؟
Gemma,مساء النور
Gemma,ما رقم الحجز و ما استفساركم
Visitor,بجي استفسر عن موعد الرحلة بالرقم المذكور
Visitor,من مسقط إلى دمشق
Gemma,يرجى الانتظار
Gemma,و تزويدنا باسماء المسافرين
Visitor,أحمد الهندي
Visitor,سميرة بسيمة
Gemma,موعد رحلتكم من مسقط الى دمشق يوم الجمعة 31 الشهر الحالي
Visitor,الاقلاع من مسقط الساعة 00:55 و الوصول الى دمشق الساعة 3:45 صباحا
Gemma,التواجد في المطار قبل السفر ب 3 ساعات
Gemma,نتمنى لكم سفرا مريحا و وصولا بالسلامة
Visitor,شكرا جزيلاً على الخدمة السريعة
Gemma,اهلا و سهلا
,_______________________________
Visitor,السلام عليكم
Gemma,و عليكم السلام
Visitor,سؤال : هل ممكن الدفع بواسطة بطاقى ماستر كارد من خارج سوريا
Gemma,ما هو بلد الانطلاق و الوصول للرحلة المطلوبة
Visitor,حلب الى لبنان
Gemma,يمكنكم اذا أردتم الحجز لرحلاتنا المباشرة و الدفع بالبطاقة الائتمانية عن طريق أحد المواقع التالية :
Visitor,اوك شكرا
Gemma,اهلا و سهلا
,_______________________________
Visitor,السلام عليكم ورحمة الله وبركاته
Gemma,و عليكم السلام
Visitor,اريد تأجيل موعد
Visitor,لأي ساعة سيكون الدوام؟
Visitor,مكتب شارع الفردوس
Gemma,من الساعة 10 حتى الساعة 16
Visitor,جزاك الله خير
Gemma,بارك الله بكم
,_______________________________
Visitor,اريد ان احجز رحلة بيروت دمشق بتاريخ 10/05/2023 الساعة 06:20 على موقع Enuygun، لكن عندما ادخل للحجز يكتب بشكل واضح انه متضمن امتعة اليد فقط،ولم استطيع ان أضيف وزن زائد
Gemma,الدرجة السياحية؟
Gemma,الوزن المسموح به لكل مسافر هو 30 كغ على الميزان و 7 كغ حقيبة يد و ان لم يذكر ذلك
Gemma,و الدفع فقط عن الوزن الزائد
Visitor,حتى لو كان مكتوب عن الحجز انه الوزن المسموح به فقط امتعة اليد ؟ انا خائف قليلا ان لا استطيع ان ادخلهم إلى الطائرة بسبب انه مكتوب في الحجز امتعة اليد فقط.
Gemma,تلقائيا عند الحجز على الرحلة لكم 30 كغ مجانية و بعض مواقع الحجز لا تذكرها و لكنها موجودة و مجانية مضافة الى التذكرة
Gemma,و الدفع فقط عن زيادة الوزن
Visitor,حسنا، شكرآ لك على المساعدة
Gemma,اهلا و سهلا
,_______________________________
Visitor,الرجاء تزويدي بمعلومات الإتصال بمكتبكم في الشارقة للحجز والتواصل عبر الواتساب
Gemma,للحجز و الاستفسار يمكنكم التواصل مع مكتب فلاي اند مور ( الوكيل العام لأجنحة الشام في الامارات ) على الرقم / 0097142222777 / أو على رقم الموبايل ( واتس اب ) / 00971562744250 / أو / 00971565630434 / أو / 00971545611480 / او زيارته على العنوان :
Visitor,# دبي - ديرة - بورسعيد - بناء زينة - مكتب / 110 /
Visitor,خلال أوقات الدوام من السبت الى الخميس من الساعة / 10 / حتى الساعة / 18 /
Gemma,هل من مساعدة ثانية؟
Gemma,اهلا و سهلا
Visitor,عفوا رحلة الشارقة - حلب في تاريخ 12 الشهر القادم نيسان ذهاب فقط كم التكلفة على الدولار؟
Visitor,عفوا رحلة الشارقة - حلب في تاريخ 12 الشهر القادم نيسان ذهاب فقط كم التكلفة على الدولار؟
Gemma,عذرا هنا ليس لدينا اي معلومات عن الاسعار
Gemma,و يمكنكم معرفتها اما عن طريق روابط الحجز او من المكتب المعطى لكم في الاجابات السابقة
,_______________________________
Visitor,"مرحبا , كيف يمكننا الحجز اونلاين؟"
Gemma,ما هو بلد الانطلاق و الوصول للرحلة
Gemma,و بلد التواجد
Visitor,بلد التواجد قطر الغنطلاق من الشارقة الى حلب
Gemma,يمكننا تزويدكم بمواقع للحجز و الدفع بالبطاقة الائتمانية
Gemma,يمكنكم اذا أردتم الحجز لرحلاتنا المباشرة و الدفع بالبطاقة الائتمانية عن طريق أحد المواقع التالية :
Gemma,الرحلات متوفرة كل سبت و اربعاء
Gemma,او يمكننا تزويدكم بارقام الواتس اب لوكيلنا في الامارات للحجز
Gemma,للحجز و الاستفسار يمكنكم التواصل مع مكتب فلاي اند مور ( الوكيل العام لأجنحة الشام في الامارات ) على الرقم / 0097142222777 / أو على رقم الموبايل ( واتس اب ) / 00971562744250 / أو / 00971565630434 / أو / 00971545611480 / او زيارته على العنوان :
Visitor,# دبي - ديرة - ميناءسعيد - بناء زينة - مكتب / 110 /
Visitor,خلال أوقات الدوام من السبت الى الخميس من الساعة / 10 / حتى الساعة / 18 /
Visitor,شكرا جزيلا
Gemma,اهلا و سهلا
,_______________________________
Visitor,مرحبا ممكن رقم واتس للتواصل
Visitor,عايز تكت من حلب لبيروت
,_______________________________
