sender,sentences
Gemma,الرسوم موجودة ضمن الشروط و التفاصيل في المكتب
Gemma,عليكم التواصل مع المكتب للتأكد من توفر اماكن بالتاريخ المطلوب او الاقرب له
Gemma,و دفع الرسوم
Visitor,ما هو الرقم في الكويت
Gemma,و الافضل التواصل مع المكتب بمدة لا تقل عن 24 ساعة من موعد الرحلة منعا لزيادة الرسوم
Gemma,للحجز و الاستفسار يمكنكم التواصل مع وكيلنا في الكويت مالك للسياحة و السفر على الرقم / 0096522444434 / او زيارته على العنوان :
Visitor,# مدينة الكويت - القبلة - شارع علي السالم - عمارة الثويني - الدور الاول - جانب الادارة العامة للاطفاء 
Visitor,خلال اوقات الدوام من السبت الى الخميس من الساعة / 8:30 / حتى الساعة / 20:30 /
Gemma,دوام رمضان
Gemma,٩صباحا -٣ عصرا 
Visitor,٨:٣٠ مساء - ١١:٣٠ مساء
,_______________________________
Visitor,مساء الخير
Gemma,مساء النور
Gemma,كيف يمكننا المساعدة؟
Visitor,من فضلك بدي احجز للشارقة
Gemma,رحلاتنا متوفرة من دمشق او حلب او اللاذقية
Gemma,الرحلات كل سبت و اربعاء والحجز حسب توفر الاماكن
Visitor,ذهاب واياب
Gemma,للحجز و الاطلاع على المواعيد و  الاسعار يمكنكم زيارة موقع شركتنا الالكتروني على الرابط :
Visitor,ممكن اعرف سعر التكت
Gemma,او للحجز و الاستفسار يمكنكم التواصل مع مكتبنا في حلب - فندق الشيراتون  على الرقم / 00963212116855 / أو / 00963219211 / 
Visitor,خلال اوقات الدوام من السبت الى الخميس من الساعة / 9  / حتى الساعة / 17 /
Gemma,اهلا و سهلا
,_______________________________
Visitor,عندي قط هل يمكن حجز تذكرة للقط والسفر معي
Gemma,ما هو بلد الانطلاق و الوصول للرحلة
Visitor,من الشارقة الى دمشق
Gemma,غير مسموح بسفر الحيوانات على الرحلات الجوية من الامارات
,_______________________________
Visitor,السلام علكم رحلة قطر إلى دمشق عن طريق الكويت كل يمت ذهب وعودة شو طيران
Gemma,و عليكم السلام
Gemma,الرحلات كل سبت و اثنين و أربعاء و خميس
,_______________________________
Visitor,السلام عليكم
Visitor,من ليبيا
Gemma,و عليكم السلام
,_______________________________
Visitor,لو سمحتو بدي اعرف اذا مسموح بالامتعة يكون في مواد سائلة كالزيت مثلا
Gemma,الزيت له طريقة خاصة بالتعامل
,_______________________________
Gemma,و عليكم السلام
Gemma,كيف يمكننا المساعدة؟
Visitor,في حجز من الكويت الى دمش
Visitor,تاريخ 4/22 الى 4/29
Gemma,الرحلات يومية و الحجز حسب توفر الاماكن
Gemma,للحجز و الاطلاع على المواعيد و  الاسعار يمكنكم زيارة موقع شركتنا الالكتروني على الرابط :
Gemma,للحجز و الاستفسار يمكنكم التواصل مع وكيلنا في الكويت مالك للسياحة و السفر على الرقم / 0096522444434 / او زيارته على العنوان :
Visitor,# مدينة الكويت - القبلة - شارع علي السالم - عمارة الثويني - الدور الاول - جانب الادارة العامة للاطفاء 
Visitor,خلال اوقات الدوام من السبت الى الخميس من الساعة / 8:30 / حتى الساعة / 20:30 /
Gemma,و في رمضان اوقات العمل
Visitor,٩صباحا -٣ عصرا 
Visitor,٨:٣٠ مساء - ١١:٣٠ مساء
Gemma,و كل عام و انتم بخير
,_______________________________
Visitor,سلام عليكم
Visitor,ايمتى مواعد عمل في الكويت
Gemma,و عليكم السلام
Gemma,دقيقة من فضلك
,_______________________________
Visitor,لو سمحت
Visitor,الغاء التذكرة قبل ادي ممكن يكون
Gemma,يمكن الالغاء باي وقت حتى بعد الرحلة و لكن الافضل ان يتم ذلك بمدة لا تقل عن 24 ساعة من موعد الرحلة منعا لزيادة الرسوم
Gemma,و عليكم التاكد من شروط التذكرة ان كانت قابلة للالغاء
Gemma,و لا يمكن الالغاء الا من المكتب او الموقع الذي تم منه الحجز
,_______________________________
Visitor,صباح الخير
Gemma,صباح النور
Gemma,كيف يمكننا المساعدة؟
,_______________________________
Visitor,ممكن اعرف كلفة الوزن الاضافي من دمشق للشارقة ؟
Gemma,يتم حاليا دفع مبلغ 26000 ليرة عن كل كيلو زيادة في مطار دمشق
Visitor,عندكن شي اسمه انو ادفع ثمن حقيبة ثانية ؟
Gemma,ما هو موعد الرحلة ؟
Visitor,3 نيسان
Gemma,يمكنكم التواصل مع المكتب الذي تم منه الحجز بمدة لا تقل عن 24 ساعة من موعد الرحلة للاستفسار عن توفر خدمة شراء وزن مسبق على رحلتكم و معرفة الرسوم 
Visitor,و اذا كانت الخدمة غير متوفرة يتم الدفع عن كل كيلو زيادة في مطار دمشق
Gemma,اهلا و سهلا
,_______________________________
Visitor,السلام علكم شو الوجهة غير مباشر متوفر
Gemma,و عليكم السلام
Gemma,دقيقة من فضلك
Gemma,تتوفر لدينا رحلات غير مباشرة ( ترانزيت ) من دمشق الى اسطنبول أو الى فرانكفورت ترانزيت عن طريق بيروت
Visitor,و كذلك من دمشق الى الرياض أو الى جدة و بالعكس ترانزيت عن طريق الكويت
Visitor,و من دمشق الى البحرين و بالعكس ترانزيت عن طريق مسقط
Visitor,و من دمشق الى الدوحة و بالعكس ترانزيت عن طريق الكويت
Visitor,رحلة من دمشق الى قطر كل يمت ذهب وعودة شو طيران
Gemma,كل سبت و اثنين و أربعاء و خميس
Visitor,شو طيران الكويت الى قطر
,_______________________________
Visitor,عندي استفسار لو سمحت
Visitor,انا عم شيك على رحلة بكرا من النجف إلى دمشق
Visitor,حضرتكم حاطين التكلفة بالليرة حوالي 700 الف او اكتر بشوي
Visitor,وتعادل 185 $
Visitor,لما نحجز عن طريق مكتب هل من الصحيح يتم حساب الكلفة بسعر مختلف جداً؟؟
Gemma,اذا بلد الانطلاق للرحلة ليس سوريا و الحجز من سوريا يكون الدفع بالدولار دون الرجوع لليرة
Gemma,و من خارج سوريا 
Visitor,من العراق بالعملة المحلية
Gemma,و التفاصيل في المكتب
Visitor,الحالة هي انو بلد الانطلاق ليس سورية
Visitor,ولكن الحجز من سورية
Visitor,والدولار غير متوفر
Visitor,كيف يتم الدفع
Gemma,الحجز بالدولار و من المكتب مباشرة
Gemma,هذه هي طريقة الحجز في هذه الحالة
Visitor,وفي حال عدم توفر الدولار
Visitor,هذا هو سؤالي
Gemma,يمكنكم الحجز من النجف
Gemma,من سوريا لا يقبل الحجز الا بالطريقة المبينة
,_______________________________
Visitor,صباح الخير
Gemma,صباح النور
Visitor,عندي استفسار لو سمحتوا …عندكم وكيل معتمد من طرفكم في البحرين ؟
Gemma,لا يوجد
Gemma,و الحجز يتم من سوريا او عن طريق وكيلنا في مسقط
Visitor,كيف ممكن احجز بطاقات طيران ذهاب اياب من الكويت لدمشق اونلاين؟
Gemma,او من وكيل سفركم بالبحرين
Visitor,عندكم وكيل في الكويت لو سمحتوا؟
Gemma,للحجز و الاستفسار يمكنكم التواصل مع وكيلنا في الكويت مالك للسياحة و السفر على الرقم / 0096522444434 / او زيارته على العنوان :
Visitor,# مدينة الكويت - القبلة - شارع علي السالم - عمارة الثويني - الدور الاول - جانب الادارة العامة للاطفاء 
Visitor,خلال اوقات الدوام من السبت الى الخميس من الساعة / 8:30 / حتى الساعة / 20:30 /
Gemma,الرقم نفسه عليه واتس اب
Visitor,شكراً جزيلاً
Gemma,و لدينا رحلات من و الى البحرين
Gemma,ترانزيت عن طريق مسقط كل خميس
Visitor,شكراً جزيلاً
Gemma,اهلا و سهلا
,_______________________________
Visitor,السلام عليكم صباح الخير
Visitor,لو سمحت بدي عنوان المكتب بحلب ، والدفع بالسوري او بالدولار
Gemma,و عليكم السلام
Gemma,ما هو بلد الانطلاق و الوصول للرحلة
Gemma,يمكنكم التواصل مع مكتبنا في حلب - فندق الشيراتون  على الرقم / 00963212116855 / أو / 00963219211 / 
Visitor,خلال اوقات الدوام من السبت الى الخميس من الساعة / 9  / حتى الساعة / 17 /
Gemma,اذا كان المسافر سوري و بلد الانطلاق للرحلة سوريا يكون الدفع بالليرة
,_______________________________
Visitor,يعطيك العافية
Visitor,كيفك اخي
Visitor,نشالله بخير
Gemma,الحمد لله
Visitor,كيف رمضان معك
Visitor,نشالله ما عم تتعذب بالصيام؟
Gemma,كيف يمكننا المساعدة؟
Visitor,اخي بدي ارخص تكت
Visitor,بشهر ٧
Visitor,لمدة شهر
Visitor,من الشارقة
Gemma,الرحلات يومية
Visitor,بدي ارخص ش
Gemma,و الحجز حسب توفر الاماكن
Gemma,تتفاوت الاسعار حسب نوع التذكرة و تاريخ الرحلة
Gemma,للحجز و الاطلاع على المواعيد و  الاسعار يمكنكم زيارة موقع شركتنا الالكتروني على الرابط :
Visitor,نقيلنا حجز رخيص
Visitor,على كيفك
Gemma,او للحجز و الاستفسار يمكنكم التواصل مع مكتب فلاي اند مور ( الوكيل العام لأجنحة الشام في الامارات ) على الرقم / 0097142222777 / أو على رقم الموبايل ( واتس اب ) / 00971562744250 / أو / 00971565630434 / أو / 00971545611480 / او زيارته على العنوان :
Visitor,# دبي - ديرة - ميناءسعيد - بناء زينة - مكتب / 110 /
Visitor,خلال أوقات الدوام من السبت الى الخميس من الساعة / 10 / حتى الساعة / 18 /
Gemma,عذرا هنا لا يظهر اسعار
Gemma,او توفر اماكن
Gemma,و انما عن طريق الرابط
Gemma,او في المكتب
Visitor,عندك ما بيفتح الرابط؟
Gemma,تفاصيل الرحلات من اسعار و توفر اماكن عليكم المتابعة بالمكتب
Visitor,عندك مو شغال الراب
Gemma,هنا يمكن معرفة مواعيد الرحلات و طريقة الحجز
,_______________________________
Visitor,صباح الخير
Visitor,هل يوجد سفر من سوريا الى موسكو ؟
,_______________________________
