sender,sentences
Gemma,للحجز و الاطلاع على المواعيد و  الاسعار يمكنكم زيارة موقع شركتنا الالكتروني على الرابط :
,_______________________________
Visitor,السلام عليكم
Visitor,في رحلات من حلب الى السليمانيه العراق
Gemma,و عليكم السلام
Gemma,ليس لدى شركتنا اي رحلات من و الى السليمانية
Gemma,رحلات الى اربيل و بغداد و النجف و البصرة
Gemma,و هي من و الى دمشق حصرا
Gemma,هل من مساعدة ثانية؟
Gemma,اهلا و سهلا
,_______________________________
Visitor,اذا ممكن رقم هاتف مكتب موسكوو
Visitor,اذا ممكن رقم هاتف مكتب موسكو
Gemma,يمكنكم التواصل مع وكيلنا في موسكو  Charter Green Light Moscow 
Visitor,خلال أوقات الدوام من الاثنين الى الجمعة من الساعة / 9 / حتى الساعة / 17 /
Gemma,اهلا و سهلا
Gemma,شكرت لتواصلكم معنا
,_______________________________
,_______________________________
Gemma,كيف يمكننا المساعدة؟
Visitor,كم وزن الحقيبة من اربيل الى دمشق على الدرجة ايكونومي
Gemma,الوزن المسموح به لكل مسافر 30 كغ على الميزان و 7 كغ حقيبة يد
Visitor,تمام شكرا
Gemma,اهلا و سهلا
,_______________________________
Visitor,مساء الخير كنت حابة اقدم على الضيافة الجوية
Gemma,مساء النور
Gemma,يمكنكم ارسال السيرة الذاتية على البريد الالكتروني :
Visitor,حيث يتم متابعة الطلب من قبل قسم الموارد البشرية
Visitor,أو يمكنكم التقدم عن طريق الرابط :
Visitor,انهيت جميع الخطوات و لكن عند الضغط على ارسال لا يرسل
Gemma,يمكنكم ارسالها على شكل نلف او رسالة من ايميل على ايميل الموارد البشرية
Visitor,شكرا للمساعدة
Gemma,اهلا و سهلا
,_______________________________
Visitor,بدي احجز أونلاين
Visitor,ما عم اقدر ادفع
Gemma,ما هو بلد الانطلاق و الوصول للرحلة
Visitor,من مسقط إلى دمشق
Visitor,تاريخ 7 أيار
Gemma,الحجز عن طريق موقعنا؟
Gemma,تم الحجز ام ليس بعد؟
Visitor,عن طريق موقعكم
Visitor,بس اعملت الحجز بس ما اقدرت ادفع
Visitor,فما بعرف شو وضع الحجز
Gemma,هل تم الاحتفاظ برقم الحجزPNRللدفع بموجبه
Gemma,خلال المهلة المعطاة؟
Visitor,ما عندي أي رقم
Visitor,بقدر اعطيكم الاسماء وتعطوني pnr
Gemma,حاليا عليكم التواصل مع وكيلنا في مسقط مع اصطحاب جواز السفر ليتم الحصول على رقم الحجز و اتمام عملية الدفع
Gemma,التواصل خلال مهلة الدفع
Gemma,للحجز و الاستفسار يمكنكم التواصل مع وكيلنا في مسقط ( أجنحة الياسمين ) الخوير الجنوبية - شارع دوحة الأدب - مبنى مركز الأعمال - ط 6  هاتف / 0096896345222 / 
Visitor,خلال أوقات الدوام من السبت الى الخميس من الساعة / 9 / حتى الساعة / 17 /
Visitor,طيب شكرا
Gemma,اهلا و سهلا
,_______________________________
Gemma,كيف يمكننا المساعدة؟
Visitor,اريد اتاكد من حجز
Gemma,ما هو رقم الحجز ؟
Gemma,يرجى الانتظار
Gemma,اسم المسافر؟
Gemma,و الطفلة؟
Gemma,حجزكم ذهاب فقط من دمشق الى أربيل يوم الاربعاء 15 الشهر الحالي
Gemma,الاقلاع من دمشق الساعة 9:00 صباحا و الوصول الى مطار أربيل الساعة 10:40
Gemma,التواجد في المطار قبل السفر ب 3 ساعات
Gemma,هل من مساعدة ثانية؟
,_______________________________
Visitor,صباح الخير
Visitor,ممكن أ‘رف كم رحلة في بالأسبوع من مسقط لدمشق
Visitor,عفواً ممكن أعرف كم رحلة من مسقط لدمشق
Gemma,صباح النور
Gemma,رحلاتنا من مسقط الى دمشق كل جمعة و الاياب كل خميس
Visitor,شكراً جزيلاً
Gemma,اهلا و سهلا
,_______________________________
Visitor,سلام عليكم
Gemma,و عليكم السلام
Gemma,كيف يمكننا المساعدة؟
Visitor,اذا اردت الحجز من الرياض الى حل
Visitor,ما هي الاجراءات
Gemma,رحلاتنا الى دمشق ترانزيت عن طريق الكويت
Visitor,كم ساعة ترانزيت
Visitor,وكم سعر التكت
Gemma,الترانزيت حوالي 3 ساعات
Visitor,تكت ذهاب وعودة
Gemma,تفاصيل الاسعار في مكتب الحجز
Gemma,للحجز و الاستفسار يمكنكم التواصل مع وكلائنا في الرياض :
Visitor,# مكتب لمار للسفر - الرياض - الفرع الرئيسي - حي الورود - شارع العروبة - هاتف / 00966114193222 /
Visitor,# مكتب الشاهين للسياحة و السفر - الرياض - شارع الملك فهد - العليا - هاتف / 00966114651115 / او  / 00966554798145 / او / 00966506210409 / او  / 00966566660260 / 
Visitor,# مكتب عطلاتي غير للسياحة و السفر - الرياض - حي النخيل - شارع سالم بن معقل - جانب حلويات اوبرا - هاتف / 00966538004840 / 
Visitor,# مقر العالم للسفريات - الرياض - حي العليا - شارع موسى بن نصير - عمائر السيريكون رقم / 2 / - الدور الأرضي / 00966114818619 /
Visitor,# آفاق دمشق للسفر و السياحة - النسيم - شارع أبو هريرة - هاتف / 00966568709247 / أو / 00966112264774 / 
Visitor,# أجنحة الدولية  للسفر و السياحة - النسيم - شارع أبو هريرة - هاتف / 00966540822226 / أو / 00966542548964 / أو / 00966112266609 /
Visitor,# وكالة تاج الماسة للسفر و السياحة - حي النهضة - الروضة - تقاطع شارع الأمير بندر مع سلمان الفارسي - هاتف / 00966112314145 / أو / 00966543738539 / أو / 00966550442102 / 
Visitor,# أبراج الشموخ - حي السويدي - الدائري الرابع - هاتف / 00966534776209 / أو / 00966114535981 /
Visitor,# وكالة الدليل للسفر و السياحة - شارع الأمير بندر - هاتف / 00966546114607 /
Gemma,هل من مساعدة ثانية؟
Gemma,اهلا و سهلا
,_______________________________
Visitor,صباح الخير
Gemma,صباح النور
Visitor,ممكن أعرف رقم مكتبكم بالإمارات للحجز
Gemma,يمكنكم التواصل مع مكتب فلاي اند مور ( الوكيل العام لأجنحة الشام في الامارات ) على الرقم / 0097142222777 / أو على رقم الموبايل ( واتس اب ) / 00971562744250 / أو / 00971565630434 / أو / 00971545611480 / او زيارته على العنوان :
Visitor,# دبي - ديرة - بورسعيد - بناء زينة - مكتب / 110 /
Visitor,خلال أوقات الدوام من السبت الى الخميس من الساعة / 10 / حتى الساعة / 18 /
Gemma,هل من مساعدة ثانية؟
Gemma,اهلا و سهلا
,_______________________________
Visitor,السلام عليكم متوفر رحلة دمشق إلى جدة طريق الكويت شو طيران
Gemma,و عليكم السلام الرحلات متوفرة و الشركة المكملة للرحلة هي طيران الجزيرة
Visitor,كل يمت ذه
Gemma,كل احد و ثلاثاء
Gemma,و الرحلات ترانزيت عن طريق الكويت
,_______________________________
Visitor,دمشق بنغازي
Gemma,يرجى توضيح استفساركم
,_______________________________
Visitor,السلام عليكم في تفي مع شركة طيران فلاي ناس شو الوجهه مباشر
Gemma,و عليكم السلام
Gemma,يرجى توضيح استفساركم
Visitor,شو الوجهه مباشر متوفر الان الكويت الى السعودية
Gemma,رحلات السعودية لدينا من دمشق الى الرياض او جدة ترانزيت عن طريق الكويت
Visitor,متوفر رحلة دمشق إلى جدة طريق الكويت شو طيران
,_______________________________
Visitor,السلام عليكم
Gemma,و عليكم السلام
Gemma,كيف يمكننا المساعدة؟
Visitor,حابب اعرف اذا في رحلة من الشارقة الى دمشق
Visitor,تاريخ 28 شهر 3
Gemma,الرحلات يومية و لكن الحجز حسب توفر الاماكن
Visitor,تاريخ 28 /3
Visitor,والسعر لشخص واحد
Gemma,للحجز و الاستفسار يمكنكم التواصل مع مكتب فلاي اند مور ( الوكيل العام لأجنحة الشام في الامارات ) على الرقم / 0097142222777 / أو على رقم الموبايل ( واتس اب ) / 00971562744250 / أو / 00971565630434 / أو / 00971545611480 / او زيارته على العنوان :
Visitor,# دبي - ديرة - بورسعيد - بناء زينة - مكتب / 110 /
Visitor,خلال أوقات الدوام من السبت الى الخميس من الساعة / 10 / حتى الساعة / 18 /
Gemma,التواجد الحالي في الامارات؟ لتزويدكم بالطريقة الانسب للتعرف على الاسعار و الحجز
Visitor,اريد الحجز من دمشق
Visitor,والدفع اسضا
Visitor,شراء التذكرة من دنشق
Gemma,اذا يجب ان يراجع شخص من طرفكم المكتب مباشرة و يكون معه صورة عن جواز سفركم للحجز
Gemma,و الدفع لن يكون بالليرة
Gemma,لان بلد الانطلاق للرحلة ليس سوريا
Visitor,المسافر ليس،مقيم في الامارات
Visitor,فيزة زيارة
Gemma,الانطلاق من دمشق ؟
Visitor,الانطلاق كان من دمشق والان العودة من الشارقة
Gemma,في حالة الفيزا يكون الحجز ذهاب و اياب
Gemma,للحجز و الاستفسار  يمكنكم التواصل مع مكتبنا الرئيسي في دمشق على رقم الهاتف / 9211 / او زيارتنا على العنوان :
Visitor,# دمشق - شارع الفردوس - بناء فيليبس - الطابق الارضي
Visitor,خلال اوقات الدوام من السبت الى الخميس من الساعة / 9 / حتى الساعة / 17 /
Gemma,اهلا و سهلا
,_______________________________
Visitor,كم الوزن المسموح من الامارات الى حلب
Gemma,الوزن المسموح به للرحلات من الشارقة الى حلب 
Visitor,للدرجة السياحية 30 كغ على الميزان و 7 كغ حقيبة يد
Gemma,و لدرجة رجال الاعمال هو 40 كغ على الميزان و 7 كغ حقيبة يد
Gemma,اهلا و سهلا
,_______________________________
Visitor,لو سمحت ازا بدي غير موعد الحجز لموعد أبكر شو بتكون الرسوم
,_______________________________
