sender,sentences
Visitor,بدي اشحن من دبي لدمشق
Visitor,مولد جهد عالي لجهاز طبقي محوري
Visitor,هي المعلومات
Visitor,بدي ياه مع التخليص الجمركي و الاستلام دمشق
Visitor,فشو الخدمات يلي ممكن تقدموها
Gemma,للاستفسار يمكنكم التواصل مع مكتب فلاي اند مور ( الوكيل العام لأجنحة الشام في الامارات ) على الرقم / 0097142222777 / أو على رقم الموبايل ( واتس اب ) / 00971562744250 / أو / 00971565630434 / أو / 00971545611480 / او زيارته على العنوان :
Visitor,# دبي - ديرة - ميناءسعيد - بناء زينة - مكتب / 110 /
Visitor,خلال أوقات الدوام من السبت الى الخميس من الساعة / 10 / حتى الساعة / 18 /
Visitor,اوك شكرا
Gemma,للاستفسار عن التفاصيل يمكنكم التواصل مع مسؤول الشحن على أرقام الواتس اب التالية / 00963933223108 / أو / 00963958005061 /
Visitor,خلال اوقات الدوام من السبت الى الخميس من الساعة / 9 / حتى الساعة / 17 /
,_______________________________
Visitor,عندي استفسار اذا بدي احجز حجز فندقي للبنان
Visitor,من الشام للبنان
Visitor,اديش بيكلف
Gemma,لا علاقة لنا بموضوع الحجوزات الفندقية
Visitor,شو بتحجزو او شو هو طبيعة شغلكم
Gemma,حجز تذاكر السفر فقط
Visitor,اديش من الشام للبنان
Visitor,حجزة تذكرة سفر
Visitor,بتحجزو ذهاب واياب او بس ذهاب
Gemma,تتفاوت الاسعار حسب نوع التذمرة و تاريخ الرحلة
Gemma,للحجز و الاطلاع على المواعيد و  الاسعار يمكنكم زيارة موقع شركتنا الالكتروني على الرابط :
Gemma,للحجز و الاستفسار يمكنكم التواصل مع مكتبنا الرئيسي في دمشق على الرقم الرباعي / 9211 / او زيارتنا على العنوان :
Visitor,# دمشق - شارع الفردوس - بناء فيليبس - الطابق الارضي
Visitor,خلال اوقات الدوام من السبت الى الخميس من الساعة / 9 / حتى الساعة / 17 /
Gemma,اهلا و سهلا
,_______________________________
Visitor,بعد اذنكون عندي تكت عوده بدي ثبت الحجز
Visitor,من اربيل الى دمشق
Visitor,بدي اعرف ايمتا في مواعيد عوده
Gemma,العودة مفتوحة؟
Gemma,الرحلات شبه يومية
Visitor,اي العاده مفتوحه
Visitor,بس المشكله ما معي صورة التيكت
Gemma,حاليا التواجد في اربيل ام دمشق؟
Visitor,عالاسم بقدر احجز مزبوط؟
Visitor,حالياً ب اربيل
Gemma,هل رقم الحجز معكم؟
Visitor,بدي احجز عدمشق
Visitor,لا والله ما معي رقم الحجز
Visitor,المره الماضيه عالاسم حجزت العوده
Gemma,عليكم مراجعة مكتب وكيلنا في اربيل مع اصطحاب جواز سفركم للاستفسار عن توفر اماكن بالتاريخ المطلوب او الاقرب له
Gemma,و الاستفسار منهم عن الاجراءات
Visitor,طيب وين المكتب باربيل بعد اذنك؟
Gemma,او يمكن لشخص من طرفكم معه صورة عن الجةاز مراجعة المكتب الذي تم منه الحجز للقيام ذبلك
Visitor,ممكن اعرف مكان المكتب الوكيل باربيل؟
Visitor,او اسم المكتب
Gemma,يمكنكم التواصل مع وكيلنا في أربيل :
Visitor,# شركة زوزك للطيران - شارع كولان - طريق القرية الانكليزية - خلف مقهى كوستاريكا
Visitor,هاتف / 009647501000405 / أو / 009647501000406 /
Visitor,خلال أوقات الدوام من السبت الى الخميس من الساعة / 9 / حتى الساعة / 17 /
Visitor,و ازا معي رقم التيكت بقدر احجز من هون ؟
Gemma,هل من مساعدة ثانية؟
Visitor,شكراً يسلم ايديك
Visitor,عذبتك معي
Gemma,اهلا و سهلا
,_______________________________
Visitor,اسعار التكتات كانت ذهاب واياب 240 ريال عماني
Visitor,ما الي حصل لزيادة كل هذا الاسعار لتصبح بقيمة 530 ريال عماني
Visitor,ما هي غريبي عليكن
Visitor,ما سبب زيادة اسعار تكتات من دمشق الى مسقط
Visitor,حتى بعد رمضان الى شهر اكتوبر سعر تكت من دمشق الى مسقط = 247 ريال عماني
Gemma,الاسعار تتفاوت حسب نوع التذكرة و تاريخ الرحلة
Gemma,و يمكنكم الاطلاع على اكثر من تاريخ و اختيار الانسب لكم
Visitor,تاريخ الرحلة بشهر اكتوبر بعد 7 اشهر بكون 240 ريال
Gemma,و الاسعار غير ثابتة
Visitor,ما هي غريبة عليكن
Visitor,الكلام مو الك موجه
Gemma,سيتم نقل وجهة نظركم الى القسم المختص
Visitor,ما بري اخذ من وقتك
Gemma,و حاليا الحل البحث باكثر من تاريخ
Visitor,ولله جربت من تاريخ ليوم لشهر اكتوبر
Visitor,كلو نفس الاسعار الذهاب فقط 240 ريال
Gemma,يمكنكم المتابعة مع المكتب ايضا و مناقشة السعر الاقرب لطلبكم
Gemma,وفق شرائح الاسعار المتاحة
Visitor,بس يرجع سعر 230 ذهاب واياب وقتها منفكر نرجع عسوريا
Visitor,شكرا بعرف مو ذنبك اي شي
Visitor,ويعطيك العافية
Gemma,اهلا و سهلا
,_______________________________
Visitor,كيفكم ورمضان مبارك
Visitor,وين فيني احجز من الرياض
Gemma,للحجز و الاستفسار يمكنكم التواصل مع وكلائنا في الرياض :
Visitor,# مكتب لمار للسفر - الرياض - الفرع الرئيسي - حي الورود - شارع العروبة - هاتف / 00966114193222 /
Visitor,# مكتب الشاهين للسياحة و السفر - الرياض - شارع الملك فهد - العليا - هاتف / 00966114651115 / او  / 00966554798145 / او / 00966506210409 / او  / 00966566660260 / 
Visitor,# مكتب عطلاتي غير للسياحة و السفر - الرياض - حي النخيل - شارع سالم بن معقل - جانب حلويات اوبرا - هاتف / 00966538004840 / 
Visitor,# مقر العالم للسفريات - الرياض - حي العليا - شارع موسى بن نصير - عمائر السيريكون رقم / 2 / - الدور الأرضي / 00966114818619 /
Visitor,# آفاق دمشق للسفر و السياحة - النسيم - شارع أبو هريرة - هاتف / 00966568709247 / أو / 00966112264774 / 
Visitor,# أجنحة الدولية  للسفر و السياحة - النسيم - شارع أبو هريرة - هاتف / 00966540822226 / أو / 00966542548964 / أو / 00966112266609 /
Visitor,# وكالة تاج الماسة للسفر و السياحة - حي النهضة - الروضة - تقاطع شارع الأمير بندر مع سلمان الفارسي - هاتف / 00966112314145 / أو / 00966543738539 / أو / 00966550442102 / 
Visitor,# أبراج الشموخ - حي السويدي - الدائري الرابع - هاتف / 00966534776209 / أو / 00966114535981 /
Visitor,# وكالة الدليل للسفر و السياحة - شارع الأمير بندر - هاتف / 00966546114607 /
,_______________________________
Visitor,السلام عليكم
Gemma,لا يوجد رحلات مباشرة و انما ترانزيت عن طريق الكويت
Visitor,تمام ممكن اعرف كم سعر الحجز
Visitor,وطريقة الحجز
Gemma,تفاصيل الاسعار في مكاتب وكلائنا في المملكة
Gemma,في الرياض او جدو او الدمام او القصيم
Visitor,ممكن عنوان الوكلاء المعتمدين في الرياض
Visitor,وهل هم ممثلين للشركة وسعرهم ثابت
Gemma,الاسعار حسب نوع التذكرة و تاريخ الرحلة
Gemma,للحجز و الاستفسار يمكنكم التواصل مع وكلائنا في الرياض :
Visitor,# مكتب لمار للسفر - الرياض - الفرع الرئيسي - حي الورود - شارع العروبة - هاتف / 00966114193222 /
Visitor,# مكتب الشاهين للسياحة و السفر - الرياض - شارع الملك فهد - العليا - هاتف / 00966114651115 / او  / 00966554798145 / او / 00966506210409 / او  / 00966566660260 / 
Visitor,# مكتب عطلاتي غير للسياحة و السفر - الرياض - حي النخيل - شارع سالم بن معقل - جانب حلويات اوبرا - هاتف / 00966538004840 / 
Visitor,# مقر العالم للسفريات - الرياض - حي العليا - شارع موسى بن نصير - عمائر السيريكون رقم / 2 / - الدور الأرضي / 00966114818619 /
Visitor,# آفاق دمشق للسفر و السياحة - النسيم - شارع أبو هريرة - هاتف / 00966568709247 / أو / 00966112264774 / 
Visitor,# أجنحة الدولية  للسفر و السياحة - النسيم - شارع أبو هريرة - هاتف / 00966540822226 / أو / 00966542548964 / أو / 00966112266609 /
Visitor,# وكالة تاج الماسة للسفر و السياحة - حي النهضة - الروضة - تقاطع شارع الأمير بندر مع سلمان الفارسي - هاتف / 00966112314145 / أو / 00966543738539 / أو / 00966550442102 / 
Visitor,# أبراج الشموخ - حي السويدي - الدائري الرابع - هاتف / 00966534776209 / أو / 00966114535981 /
Visitor,# وكالة الدليل للسفر و السياحة - شارع الأمير بندر - هاتف / 00966546114607 /
Visitor,تمام شكرا لكم جزيلا
Gemma,اهلا و سهلا
,_______________________________
Visitor,السلام عليكم عندي استفاسر
Visitor,هل يوجد حجز مباشر من الرياض الى دمشق
Gemma,و عليكم السلام
,_______________________________
Visitor,صباح الخير.. نريد الحجز من الرياض إلى سورية عبر الكويت في اول شهر 7، والعودة في أواخر شهر 8.. متى يتضح جدول هذه الرحلات؟
Gemma,صباح النور
Gemma,الرحلات من الرياض الى دمشق كل سبت و اثنين و اربعاء و خميس
Gemma,و الاياب كل احد و ثلاثاء و جمعة
Visitor,قال مكتب الطيران أن رحلات شهر 8 غير متاحة بعد .. هل هذا صحيح أم هناك خطأ..
Gemma,متى تم التواصل
Visitor,أي هل نستطيع الحجز والدفع الآن بالتواريخ أعلاه؟
Visitor,تواصلنا من 3 ايام
Gemma,الحجز حسب توفر الاماكن
Gemma,للحجز و الاستفسار يمكنكم التواصل مع وكلائنا في الرياض :
Visitor,# مكتب لمار للسفر - الرياض - الفرع الرئيسي - حي الورود - شارع العروبة - هاتف / 00966114193222 /
Visitor,# مكتب الشاهين للسياحة و السفر - الرياض - شارع الملك فهد - العليا - هاتف / 00966114651115 / او  / 00966554798145 / او / 00966506210409 / او  / 00966566660260 / 
Visitor,# مكتب عطلاتي غير للسياحة و السفر - الرياض - حي النخيل - شارع سالم بن معقل - جانب حلويات اوبرا - هاتف / 00966538004840 / 
Visitor,# مقر العالم للسفريات - الرياض - حي العليا - شارع موسى بن نصير - عمائر السيريكون رقم / 2 / - الدور الأرضي / 00966114818619 /
Visitor,# آفاق دمشق للسفر و السياحة - النسيم - شارع أبو هريرة - هاتف / 00966568709247 / أو / 00966112264774 / 
Visitor,# أجنحة الدولية  للسفر و السياحة - النسيم - شارع أبو هريرة - هاتف / 00966540822226 / أو / 00966542548964 / أو / 00966112266609 /
Visitor,# وكالة تاج الماسة للسفر و السياحة - حي النهضة - الروضة - تقاطع شارع الأمير بندر مع سلمان الفارسي - هاتف / 00966112314145 / أو / 00966543738539 / أو / 00966550442102 / 
Visitor,# أبراج الشموخ - حي السويدي - الدائري الرابع - هاتف / 00966534776209 / أو / 00966114535981 /
Visitor,# وكالة الدليل للسفر و السياحة - شارع الأمير بندر - هاتف / 00966546114607 /
Visitor,أعتذر لك.. فقط لتأكيد فهمي.. الرحلات مجدولة، لكن ربما امتلأت فلم يحجز لنا المكتب..
Gemma,دقيقة من فضلك
Gemma,رحلات الاياب متوفرة ايام الجمعة و الثلاثاء
,_______________________________
Visitor,السلام عليكم ورحمة الله وبركاته
Gemma,و عليكم السلام
Visitor,عندي شنطة 30 كيلو اريد شحنها جوا او برا الى سوريا
Visitor,كم سيكلف ؟
Gemma,من اي بلد سيكون الشحن الجوي
Visitor,الامارات ابوظبي
Visitor,الى الاذقية
Gemma,الى اللاذفية متوفر من الشارقة
Gemma,للاستفسار يمكنكم التواصل مع مكتب فلاي اند مور ( الوكيل العام لأجنحة الشام في الامارات ) على الرقم / 0097142222777 / أو على رقم الموبايل ( واتس اب ) / 00971562744250 / أو / 00971565630434 / أو / 00971545611480 / او زيارته على العنوان :
Visitor,# دبي - ديرة - ميناءسعيد - بناء زينة - مكتب / 110 /
Visitor,خلال أوقات الدوام من السبت الى الخميس من الساعة / 10 / حتى الساعة / 18 /
Gemma,اهلا و سهلا
Visitor,ممكن بس كم وقت يستغرق الارسال
Gemma,التفاصيل في المكتب
Visitor,شكرا 👍
,_______________________________
,_______________________________
Gemma,الرحلات من دمشق الى بغداد كل سبت و اثنين و اربعاء و خميس
Gemma,و الحجز حسب توفر الاماكن
Gemma,للحجز و الاستفسار  يمكنكم التواصل مع مكتبنا الرئيسي في دمشق على رقم الهاتف / 9211 / او زيارتنا على العنوان :
Visitor,# دمشق - شارع الفردوس - بناء فيليبس - الطابق الارضي
Visitor,خلال اوقات الدوام من السبت الى الخميس من الساعة / 9 / حتى الساعة / 17 /
Gemma,للحجز و الاطلاع على المواعيد و  الاسعار يمكنكم زيارة موقع شركتنا الالكتروني على الرابط :
,_______________________________
Visitor,Ghidaa: مرحبا ايمت موعد  اقرب رحلة من دمشق الي بغداد
,_______________________________
,_______________________________
Visitor,السلام عليكم اليوم اي ساعة في رحلة من دمشق لبغداد
Gemma,و عليكم السلام
Gemma,ممكن رقم الحجز
,_______________________________
Visitor,كم كلفه
Visitor,عرض العطلات رحله دبي لشخصين بعيد الفطر
,_______________________________
