sender,sentences
Visitor,# مكتب الشاهين للسياحة و السفر - الرياض - شارع الملك فهد - العليا - هاتف / 00966114651115 / او  / 00966554798145 / او / 00966506210409 / او  / 00966566660260 / 
Visitor,# مكتب عطلاتي غير للسياحة و السفر - الرياض - حي النخيل - شارع سالم بن معقل - جانب حلويات اوبرا - هاتف / 00966538004840 / 
Visitor,# مقر العالم للسفريات - الرياض - حي العليا - شارع موسى بن نصير - عمائر السيريكون رقم / 2 / - الدور الأرضي / 00966114818619 /
Visitor,# آفاق دمشق للسفر و السياحة - النسيم - شارع أبو هريرة - هاتف / 00966568709247 / أو / 00966112264774 / 
Visitor,# أجنحة الدولية  للسفر و السياحة - النسيم - شارع أبو هريرة - هاتف / 00966540822226 / أو / 00966542548964 / أو / 00966112266609 /
Visitor,# وكالة تاج الماسة للسفر و السياحة - حي النهضة - الروضة - تقاطع شارع الأمير بندر مع سلمان الفارسي - هاتف / 00966112314145 / أو / 00966543738539 / أو / 00966550442102 / 
Visitor,# أبراج الشموخ - حي السويدي - الدائري الرابع - هاتف / 00966534776209 / أو / 00966114535981 /
Visitor,# وكالة الدليل للسفر و السياحة - شارع الأمير بندر - هاتف / 00966546114607 /
Gemma,اهلا و سهلا
,_______________________________
Visitor,صار عنا دمشق كاراكاس
Gemma,و عليكم السلام
Gemma,الوجهة المطلوبة غير متوفرة
Visitor,طيب  شكرا جيما كلك لطف
Gemma,اهلا و سهلا
,_______________________________
Gemma,كيف يمكننا المساعدة؟
,_______________________________
,_______________________________
Visitor,السلام عليكم ، متى تصل رحلتكم اليوم من دمشق ؟
,_______________________________
