sender,sentences
Visitor,# دبي - ديرة - بورسعيد - بناء زينة - مكتب / 110 /
Visitor,خلال أوقات الدوام من السبت الى الخميس من الساعة / 10 / حتى الساعة / 18 /
Visitor,عم نفوت ع رابط معم ونحكط معلومات لنشوف تكت سعرا معم يعطي شي
Gemma,من الشارقة الى دمشق و بالعكس يوجد رحلات يومية
Visitor,اي اديش سعر التكت ذهاب اياب
Gemma,عذرا هنا لا يوجد تفاصيل عن الاسعار
Visitor,و عليكم التواصل مع المكتب 
Visitor,أو اختيار تاريخ ذهاب و اياب فيه اسعار اي  متاح للحجز و ادخال بيانات المسافرين فيظهر السعر في ذلك التاريخ
Gemma,فان ناسبكم تكملون الحجز
Gemma,أو يمكنكم التواصل مباشرة مع المكتب
Gemma,و الاستفسار
Visitor,اخي حظينا معلومات و تواريخ بتطلع صفحه فاضيه ماعم تعطي اي معلومات
Gemma,للحجز و الاستفسار يمكنكم التواصل مع مكتب فلاي اند مور ( الوكيل العام لأجنحة الشام في الامارات ) على الرقم / 0097142222777 / أو على رقم الموبايل ( واتس اب ) / 00971562744250 / أو / 00971565630434 / أو / 00971545611480 / او زيارته على العنوان :
Visitor,# دبي - ديرة - بورسعيد - بناء زينة - مكتب / 110 /
Visitor,خلال أوقات الدوام من السبت الى الخميس من الساعة / 10 / حتى الساعة / 18 /
Visitor,طيب شكرا
Gemma,اهلا و سهلا
,_______________________________
Visitor,يعطيكمم العافية
Visitor,بو سمحتم شو الوجهات المباشرة من دمشق عالبلدان
Visitor,يعني أي البلدان ممكن نطلعلا من دمشق مباشر
Gemma,تريدون معرفة وجهات شركتنا المباشرة و التي لا يوجد فيها ترانزيت؟
Visitor,نعم إذا سمحتم
Gemma,دقيقة من فضلك
Gemma,حاليا تتوفر لدينا رحلات مباشرة من ( بيروت ، مسقط ، الكويت ، الشارقة ، أبوظبي ، بغداد ، أربيل ، النجف ، البصرة ، موسكو ، يريفان ، بنغازي و طهران ) الى دمشق و بالعكس
Visitor,بالاضافة الى رحلات من الشارقة أومن بيروت الى حلب و بالعكس
Visitor,و كذلك من الشارقة الى اللاذقية و بالعكس
Visitor,وفي حال الوجهة إلى البرازيل أو فنزويلا ؟
Visitor,عبر مطار بيروت بيكون السفر؟
Gemma,يمكنكم الحجز معنا على احدى وجهاتنا المباشرة الانسب لكم و تنسيق سفر منها مسبقا الى وجهتكم المطلوبة مع شركة ثانية
Gemma,و التنسيق للرحلة يتم من قبلكم
Gemma,مع مراعاة شروط الترانزيت لكل بلد
Visitor,شكراً لاستجابتكم السريعة والراقية
Gemma,اهلا و سهلا
Visitor,موفقين انشالله
,_______________________________
Visitor,Visitor Name: ناصر الدين منذر منذر
Visitor,مسا الخير كيف بيبين ازا في رحلات بيوم محدد او لا ما عم يشتغل معي التطبيق ؟
Gemma,ما هو بلد الانطلاق و الوصول للرحلة
Visitor,من دمشق الي بغداد ٢٥/٣
Visitor,ازا في رحلات
Gemma,الرحلات كل سبت و اثنين و اربعاء و خميس
Gemma,و الحجز حسب توفر الاماكن
Visitor,و الدفع عن طريق البنك اسف سالت كتير
Gemma,اذا تم الحجز عن طريق موقعنا الالكتروني
Gemma,فيمكن اختيار طريقة الدفع
Gemma,اما نقدي او e cash او fatora
Gemma,النقدي الدفع في احد مكاتبنا الرئيسية بناء على رقم الحجز
Gemma,و اما الe cash او fatora
Gemma,فيجب وجود حساب بنكي لديكم
Gemma,و يتم الدفع بادخال رقم البطاقة البنكية
Gemma,او يمكنكم الحجز مباشرة من المكتب
Gemma,حسب الطريقة الانسب لكم
Visitor,تمام يسلم ايديك شكرا
Gemma,اهلا و سهلا
,_______________________________
,_______________________________
Visitor,السلام عليكم
Gemma,و عليكم السلام
Visitor,لو سمحت بدي اسأل حضرتك كم سعر الحجز بتاريخ 28 /4 والعودة بعد شهر ونصف
Visitor,من الشارقة الى اللاذقية
Gemma,للحجز و الاستفسار يمكنكم التواصل مع مكتب فلاي اند مور ( الوكيل العام لأجنحة الشام في الامارات ) على الرقم / 0097142222777 / أو على رقم الموبايل ( واتس اب ) / 00971562744250 / أو / 00971565630434 / أو / 00971545611480 / او زيارته على العنوان :
Visitor,# دبي - ديرة - بورسعيد - بناء زينة - مكتب / 110 /
Visitor,خلال أوقات الدوام من السبت الى الخميس من الساعة / 10 / حتى الساعة / 18 /
Gemma,او للحجز و الاطلاع على المواعيد و  الاسعار يمكنكم زيارة موقع شركتنا الالكتروني على الرابط :
,_______________________________
Visitor,في شحن عسوريا
Gemma,من اين تريدون الشحن؟
Gemma,من الشارقة او ابوظبي
Gemma,الشحن من الشارقة او من ابوظبي
Visitor,شو السعر
Gemma,للاستفسار عن التفاصيل يمكنكم التواصل مع مكتب فلاي اند مور ( الوكيل العام لأجنحة الشام في الامارات ) على الرقم / 0097142222777 / أو على رقم الموبايل ( واتس اب ) / 00971562744250 / أو / 00971565630434 / أو / 00971545611480 / او زيارته على العنوان :
Visitor,# دبي - ديرة - بورسعيد - بناء زينة - مكتب / 110 /
Visitor,خلال أوقات الدوام من السبت الى الخميس من الساعة / 10 / حتى الساعة / 18 /
,_______________________________
Visitor,يعطيك العافية
Gemma,كيف يمكننا المساعدة؟
,_______________________________
Visitor,عفوا انا احاول الاتصال بمكتب دبي لتأكيد الحجز لكن الرقم الموجود لايجيب
Gemma,اي مكتب ممكن التوضيح
Visitor,الامارات العربية المتحدة
Visitor,هاتف +٩٧١٤٢٢٢٢٧٧٧
Visitor,رقم خاطئ لا يجيب
Visitor,يرجى موافاتنا يرقم بديل
Gemma,لديكم حجز و تريدون اتمام عملية الدفع؟
Gemma,الاتصال بمكتب سنتريون
Gemma,لتزويدهم برقم الحجز و اكمال عملية الدفع
Gemma,اهلا و سهلا
Visitor,رح حاول في حال لم يتم سوف اعاود الاتصال بك
Visitor,شكرا لك
,_______________________________
Visitor,السلام عليكم متوفر البحرين إلى دمشق طريق مسقط كل يمت ذهب و عودة في وكيل أجنحة الشام البحرين
Gemma,و عليكم السلام
Gemma,الرحلات كل يوم خميس للذهاب و الاياب
Gemma,و لا يوجد وكيل في البحرين
Visitor,كيف طريق حجز تذاكر من البحرين إلى دمشق طريق مسقط
Gemma,اما من مكاتب سوريا او عن طريق وكيلنا في مسقط
,_______________________________
Visitor,في ايي حجز باسم ريكاردو صليبي ع حلب 1-4
Gemma,ما هو رقم الحجز
Visitor,انا كنت عم احجز قبل شوي وصلت ع مرحلة دفع ما اخدت البطاقة علق عم ارجع احجز عم يكتبو في حجز بها الاسم
Gemma,ما هو بلد الانطلاق و الوصول للرحلة
Gemma,و كيف تم الحجز و بلد تواجدكم الحالي
Visitor,الشارقة الى حلب
Visitor,تواجد الان في الشارقة
Gemma,حاليا عليكم الاتصال بمكتب سنتريون هاتفيا في دبي
Gemma,و تزويدهم ببيانات حجزكم و رقم الجواز
Gemma,للحصول على رقم الحجز و اتمام الدفع عن طريقهم خلال مهلة الدفع
Gemma,لانه بانتهاء المهلة يتم الغاء الحجز تلقائيا
Gemma,هل لديكم رقم المكتب؟
Visitor,انا بكمل دفع وبدفع
Gemma,الدفع يكون بهذه الطريقة
Gemma,اذا تم الحجز عن طريق موقعنا
Visitor,ايوا عن طريق الموقع بدفع بنك
Visitor,يتم تزويدكم برقم حساب بنكي للدفع
Gemma,تريدون رقم مكتب سنتريون؟
Visitor,اوك شكرا
Gemma,اهلا و سهلا
,_______________________________
Visitor,السلام عليكم انت في تفي مع شركة طيران فلاي ناس شو الوجهه مباشر السعودية
Gemma,و عليكم السلام
Gemma,رحلاتنا متوفرة من دمشق الى الرياض و بالعكس ترانزيت عن طريق الكويت
Gemma,و الشركة المكملة ناس
Visitor,كل يمت ذهب و عودة
Gemma,من الرياض الى دمشق كل سبت و اثنين و اربعاء و خميس
Gemma,و الاياب كل أحد و ثلاثاء و جمعة
Visitor,انت تفي مع شركة طيران الجزيرة شو الوجهه
Gemma,جدة و الدمام 
Visitor,الشركة المكملة لها الجزيرة
Visitor,كل يمت ذهب و عودة
Gemma,نفس الايام رحلات الرياض
Visitor,الدمام إلى دمشق طريق الكويت كل يمت ذهب و عودة
Gemma,التفاصيل في المكتب
Visitor,للحجز و الاستفسار يمكنكم التواصل مع وكيلنا في الدمام :
Visitor,# مكتب لمار للسياحة و السفر - الدمام - شارع الملك سعود - حي الربيع - مبنى الهوشان هاتف / 00966138349050 /
,_______________________________
Visitor,السلام عليكم
Gemma,و عليكم السلام
Visitor,بس حابب اعرف ايمت انطلقت الطيارة من اربيل اليوم
Visitor,من المفترض كان الانطلاق ع الساعة الواحدة
Visitor,انطلقت ع الوقت ولا في تأخير
Gemma,دقيقة من فضلك
Gemma,أقلعت الساعة 13:46
Gemma,منذ دقيقة تقريبا
Visitor,الوقت الممتوقع للهبوط ع الساعة الثالثة
Gemma,الوصول المتوقع الساعة 14:53
Gemma,ان شاء الله
Gemma,نتمنى للجميع سفرا مريحا و وصولا بالسلامة
Visitor,شكرا جزيلا
Gemma,اهلا و سهلا
,_______________________________
,_______________________________
Visitor,السلام عليكم متوفر رحلة دمشق إلى ليبيا مباشر كل يمت ذهب و عودة
Gemma,و عليكم السلام
Gemma,الرحلات من دمشق الى بنغازي و بالعكس
Gemma,و لا يوجد جدول ثابت بل يتم المتابعة مع المكتب
Gemma,للحجز و الاستفسار يمكنكم التواصل مع مكتبنا الرئيسي في دمشق على الرقم الرباعي / 8011 / أو / 9211 / او زيارتنا على العنوان :
Visitor,# دمشق - شارع الفردوس - بناء فيليبس - الطابق الارضي
Visitor,خلال اوقات الدوام من السبت الى الخميس من الساعة / 9 / حتى الساعة / 17 /
Visitor,السلام عليكم متوفر رحلة دمشق إلى بيروت ربط تنسيق رحلة بيروت إلى كوبنهاغن و ستوكهولم الترانزيت طريق اسطنبول على خطوط بيغاسوس كل يوم الثلاثاء
Gemma,رحلاتنا متوفرة ذهاب فقط من دمشق الى اسطنبول ترانزيت عن طريق بيروت
Gemma,و اما بقية الوجهات فيكون الحجز معنا الى بيروت فقط
Gemma,و التنسيق لرحلة مكملة يتم من قبلكم
,_______________________________
Visitor,المواد الغذائية شبه الصلبة متل السمن و العسل ؟
Visitor,المواد الغذائية شبه الصلبة متل السمن و العسل ؟
Visitor,بقدر اخذا بالطيارة ؟
Gemma,يمكنكم الاطلاع على المواد الممنوعة على الطائرة
Gemma,للاستفسار عن التفاصيل يمكنكم التواصل مع مسؤول الشحن على أرقام الواتس اب التالية / 00963933223108 / أو / 00963958005061 /
Visitor,خلال اوقات الدوام من السبت الى الخميس من الساعة / 9 / حتى الساعة / 17 /
,_______________________________
Visitor,انا رحلتي الخميس المسا الساعة ٧
Visitor,ايمت لازم كون بالمطار
Gemma,التواجد في المطار قبل السفر ب 3 ساعات
Gemma,نتمنى لكم سفرا مريحا و وصولا بالسلامة
Visitor,معي غرض لشخص
Visitor,هو مفك
Gemma,يمكنكم وضعه في حقيبة الامتعة
,_______________________________
Visitor,هل يوجد توصيل من اربيل الى حلب
Gemma,رحلاتنا من اربيل الى دمشق فقط و بالعكس
Gemma,و لا يوجد الى حلب
Visitor,شحن البضائع  الى دمشق
Visitor,سعر توصيل الكيلو
Gemma,للاستفسار عن التفاصيل يمكنكم التواصل مع وكيلنا في أربيل :
Visitor,# شركة زوزك للطيران - شارع كولان - طريق القرية الانكليزية - خلف مقهى كوستاريكا
Visitor,هاتف / 009647501000405 / أو / 009647501000406 /
Visitor,خلال أوقات الدوام من السبت الى الخميس من الساعة / 9 / حتى الساعة / 17 /
Gemma,اهلا و سهلا
,_______________________________
Visitor,السلام علكم في رحلة دمشق الى الرياض طريق الكويت كل يمت
Gemma,و عليكم السلام
Gemma,الرحلات كل احد و ثلاثاء و جمعة
,_______________________________
Visitor,السلام عليكم ورحمه الله وبركاته
Gemma,و عليكم السلام
Gemma,كيف يمكننا المساعدة
Visitor,كم ثمن البطاقة ذهاب واياب ارييل حلب اربيل 29اذار
Gemma,رحلاتنا من اربيل الى دمشق فقط و بالعكس
Gemma,و لا يوجد الى حلب
Visitor,ممكن من فضلك رقم شركة تسافر إلى حلب
Gemma,عذرا ليس لدينا معلومات الا عن رحلات شركتنا
Gemma,اهلا و سهلا
,_______________________________
